symbol,sector_index_symbol,effective_from,effective_to
ADANIENT,NIFTY_METAL,2026-03-30,
AEGISLOG,NIFTY_OIL_AND_GAS,2026-03-30,
ASHOKLEY,NIFTY_AUTO,2026-03-30,
ATGL,NIFTY_OIL_AND_GAS,2026-03-30,
AXISBANK,NIFTY_BANK,2026-03-30,
AXISBANK,NIFTY_FINANCIAL_SERVICES,2026-03-30,
AXISBANK,NIFTY_PRIVATE_BANK,2026-03-30,
BAJAJ-AUTO,NIFTY_AUTO,2026-03-30,
BAJFINANCE,NIFTY_FINANCIAL_SERVICES,2026-03-30,
BSE,NIFTY_FINANCIAL_SERVICES,2026-03-30,
COFORGE,NIFTY_IT,2026-03-30,
EICHERMOT,NIFTY_AUTO,2026-03-30,
HCLTECH,NIFTY_IT,2026-03-30,
HDFCBANK,NIFTY_BANK,2026-03-30,
HDFCBANK,NIFTY_FINANCIAL_SERVICES,2026-03-30,
HDFCBANK,NIFTY_PRIVATE_BANK,2026-03-30,
HINDALCO,NIFTY_METAL,2026-03-30,
HINDCOPPER,NIFTY_METAL,2026-03-30,
ICICIBANK,NIFTY_BANK,2026-03-30,
ICICIBANK,NIFTY_FINANCIAL_SERVICES,2026-03-30,
ICICIBANK,NIFTY_PRIVATE_BANK,2026-03-30,
INFY,NIFTY_IT,2026-03-30,
KOTAKBANK,NIFTY_BANK,2026-03-30,
KOTAKBANK,NIFTY_FINANCIAL_SERVICES,2026-03-30,
KOTAKBANK,NIFTY_PRIVATE_BANK,2026-03-30,
LAURUSLABS,NIFTY_PHARMA,2026-03-30,
M&M,NIFTY_AUTO,2026-03-30,
MARUTI,NIFTY_AUTO,2026-03-30,
NATIONALUM,NIFTY_METAL,2026-03-30,
RELIANCE,NIFTY_OIL_AND_GAS,2026-03-30,
SBIN,NIFTY_BANK,2026-03-30,
SBIN,NIFTY_FINANCIAL_SERVICES,2026-03-30,
SBIN,NIFTY_PSU_BANK,2026-03-30,
SHRIRAMFIN,NIFTY_FINANCIAL_SERVICES,2026-03-30,
TATASTEEL,NIFTY_METAL,2026-03-30,
TCS,NIFTY_IT,2026-03-30,
TVSMOTOR,NIFTY_AUTO,2026-03-30,
TMPV,NIFTY_AUTO,2026-03-30,
VEDL,NIFTY_METAL,2026-03-30,
WELCORP,NIFTY_METAL,2026-03-30,2026-08-30
WOCKPHARMA,NIFTY_PHARMA,2026-03-30,
